kmeans,random,greedy,hillclimber
29887,35692,29500,35215
29716,35323,29437,35098
29797,35701,29455,35125
29725,35296,29356,35215
29662,35683,29473,35080
29608,35476,29329,35269
29644,35728,29365,35035
29725,35287,29338,35377
29734,35656,29428,35017
29635,35386,29320,35323
29842,35080,29419,35449
29590,35584,29401,35206
29698,36034,29473,35026
29671,35647,29302,35116
29779,35368,29347,35638
29734,35854,29446,35233
29707,35845,29446,35305
29599,35836,29410,35341
29581,36088,29365,35458
29797,35719,29329,35467
29761,35575,29347,35179
29716,35377,29455,35215
29725,35818,29446,35197
29626,35809,29365,35467
29590,35440,29302,35107
29698,35593,29419,35782
29608,35719,29491,35440
29725,35620,29428,35026
30031,35620,29473,35512
29725,35602,29437,35026
29617,35809,29338,35143
29761,35926,29365,35341
29563,35611,29374,35170
29761,35611,29446,35188
29743,35539,29320,35089
29680,35620,29482,35323
29716,36115,29437,35368
29644,35359,29437,35233
29725,35674,29338,34891
29743,35692,29707,35197
29716,35593,29473,35206
29842,35620,29329,34810
29644,35683,29707,35323
29626,35710,29428,35602
29680,35692,29383,35179
29509,35854,29410,35368
29662,35071,29293,35395
29734,35755,29446,35188
29689,36007,29338,35593
29770,35332,29455,35161
29635,35341,29338,35413
29788,36016,29365,35323
29608,35134,29401,35683
29653,35575,29329,35440
29671,36007,29356,35377
29608,36016,29455,35422
29563,35728,29374,35206
29869,35566,29356,34981
29662,35836,29347,35278
29698,35710,29437,35359
29833,35863,29374,35152
29671,35908,29365,35116
29824,35737,29446,35143
29752,35503,29428,35296
29689,35737,29455,35035
29752,35998,29338,35350
29743,35908,29392,35431
29806,35764,29401,35323
29788,36097,29302,35287
29905,35404,29302,34909
29563,35755,29410,35431
29680,35476,29455,35251
29716,35836,29383,35071
29689,35908,29428,35035
29815,35827,29428,34855
29680,35791,29464,35161
29635,35161,29437,34900
29788,35503,29437,34936
29653,35584,29338,35161
29743,35503,29311,35692
29725,36214,29347,35260
29797,35557,29329,34918
29653,35872,29446,35332
29698,35989,29698,35305
29770,35701,29446,34891
29725,35710,29338,35332
29644,36079,29329,35125
29878,35503,29338,35161
29833,35431,29374,34945
29608,35629,29455,35278
29734,36115,29383,35062
29761,35494,29329,34891
29761,35854,29347,35530
29527,35476,29455,35080
29635,35782,29473,35440
29563,34990,29473,34999
29752,35899,29437,34783
29572,35242,29329,35269
29698,35620,29464,35350
29716,35800,29356,35233
29572,35350,29410,35188
29545,35314,29410,35350
29671,35620,29365,35368
29743,35998,29455,35044
29743,35485,29428,35683
29617,35530,29365,34936
29590,35674,29473,35053
29914,35179,29356,34810
29707,35908,29329,35404
29689,35989,29329,35080
29653,36025,29338,35530
29680,35476,29329,35620
29797,35944,29428,35584
29509,35755,29320,34702
29671,36178,29320,34981
29725,35188,29365,35332
29689,35521,29734,35701
29770,35962,29446,35593
29761,35584,29473,35278
29716,35413,29455,35557
29896,35854,29338,35629
29707,35494,29419,35242
29815,35404,29455,35080
29617,35890,29365,35377
29941,35818,29374,35134
29689,35494,29338,35395
29716,35305,29419,35260
29761,35440,29410,35161
29734,35755,29401,34900
29779,36124,29401,35161
29653,35602,29356,35035
29779,35359,29302,34900
29653,35737,29320,34837
29671,35728,29482,35170
29743,35683,29689,35008
29833,35944,29338,35692
29725,35467,29338,35233
29851,35404,29320,35035
29743,35782,29455,35575
29689,36052,29698,35476
29653,35755,29383,35575
29698,35917,29473,34963
29698,35809,29698,36277
29716,36043,29329,35494
29761,35674,29428,35026
29914,35503,29311,35269
29644,35638,29428,35278
29770,35539,29464,35224
29806,35395,29410,35269
29518,35728,29356,35125
29752,35278,29437,35197
29698,36016,29374,35287
29707,35800,29374,35404
29653,35719,29698,35134
29644,35809,29338,35494
29689,35854,29428,35089
29671,35467,29437,35206
29590,35602,29455,35386
29770,35449,29374,35197
29716,35674,29320,35332
29707,35548,29455,35683
29869,36214,29347,35071
29797,35287,29338,35107
29599,35899,29329,35287
29770,35674,29356,35413
29581,35647,29446,35107
29698,35197,29392,35197
29851,35638,29293,35017
29743,35530,29698,35197
29662,35854,29356,35368
29788,35431,29437,35287
29662,35602,29347,35305
29671,35647,29716,35395
29770,35692,29347,35026
29599,35737,29302,35170
29770,35593,29329,35080
29689,35944,29329,35053
29761,35746,29464,35260
29788,35593,29455,35035
29689,35512,29320,34486
29770,35521,29419,35386
29788,35728,29347,35503
29734,35611,29338,35503
29770,35566,29419,35476
29653,35782,29437,35323
29806,35431,29698,34738
29671,35368,29437,35278
29815,36214,29401,35602
29869,35665,29689,35359
29752,35593,29320,35251
29833,35350,29365,34900
29752,35368,29347,35224
29734,35323,29356,35782
29770,35548,29689,35170
29608,35422,29338,35188
29608,35287,29482,34657
29662,35665,29428,34765
29707,35899,29329,35233
29770,35323,29374,34936
29779,35512,29419,35467
29788,35881,29374,35611
29887,35062,29455,35170
29797,35314,29329,34567
29779,35692,29374,34819
29806,35773,29716,35089
29896,35584,29464,35125
29725,35683,29446,35368
29725,35728,29383,35359
29662,35917,29455,35332
29599,36106,29338,35440
29707,36214,29446,35242
29680,35656,29491,35575
29734,36187,29446,35242
29644,35233,29455,35278
29671,35683,29446,35620
29662,35494,29338,35539
29509,36115,29698,35314
29518,35494,29437,36160
29617,35656,29329,35287
29698,35692,29356,35296
29725,35890,29698,35107
29770,35746,29410,35521
29725,35485,29689,35458
29779,35800,29365,35143
29725,35818,29419,35224
29581,36142,29455,35179
29725,35764,29446,35530
29779,35152,29365,35584
29941,35566,29410,35044
29860,35809,29419,35530
29743,35638,29419,34792
29716,35899,29401,35539
29833,35881,29707,35359
29707,36484,29437,35197
29635,35836,29347,35008
29761,35692,29698,34927
29689,35773,29446,35089
29905,35458,29428,35323
29707,35971,29347,34792
29626,35368,29455,35341
29680,35107,29500,35206
29617,35917,29410,35053
29743,35332,29428,35278
29761,35656,29383,35440
29734,35620,29338,35512
29581,35440,29401,35197
29599,35026,29419,35404
29788,36052,29320,35134
29608,36097,29365,35107
29752,35827,29437,35512
29707,35656,29410,35269
29608,35557,29428,35530
29914,35881,29338,35161
29734,35881,29464,35143
29617,35305,29392,34927
29734,35224,29410,34963
29671,35575,29446,35395
29914,35872,29347,35494
29698,35764,29401,35098
29797,35341,29383,35458
29887,35863,29329,35026
29590,35611,29338,34972
29734,35278,29446,35377
29734,35458,29338,35512
29770,35845,29302,35359
29662,36043,29347,35035
29743,35728,29347,35143
29743,35674,29428,35170
29770,36466,29446,35521
29653,35071,29419,35107
29851,35854,29401,35845
29743,35746,29455,35512
29752,35665,29446,34900
29581,35395,29689,34891
29752,35872,29437,35674
29662,35629,29338,35098
29833,35773,29311,35278
29707,35782,29455,35368
29599,35449,29374,35368
29725,35737,29320,35197
29716,35440,29347,35179
29662,35494,29437,35125
29707,35611,29707,35044
29536,35557,29347,34945
29662,35872,29464,34729
29698,36277,29419,35683
29716,35359,29455,35188
29923,35530,29365,34909
29788,35845,29464,35161
29743,35224,29410,35125
29842,35611,29347,35251
29608,36124,29455,35350
29671,36115,29374,35251
29680,35800,29320,35287
29851,36016,29383,35008
29662,35683,29617,35404
29698,36106,29356,35224
29779,35692,29347,35431
29707,35539,29455,35152
29887,35413,29365,34999
29716,35863,29329,35314
29662,35377,29347,35215
29806,35863,29437,35242
29752,35080,29446,35647
29932,35701,29311,35440
29518,35386,29446,35089
29680,35062,29410,34756
29770,35476,29338,34774
29644,35827,29446,35341
29680,35548,29455,35278
29698,36133,29347,35161
29716,35593,29311,34846
29635,35656,29329,35665
29626,35899,29338,35035
29770,36421,29437,35143
29734,35989,29437,35755
29842,35620,29455,35404
29842,35593,29455,35278
29725,35710,29347,35278
29599,35494,29410,35017
30004,35557,29356,35548
29635,35494,29347,35215
29707,35665,29680,35431
29617,35764,29473,34927
29824,35539,29338,35431
29752,36142,29356,35305
29689,35341,29464,35341
29689,35683,29401,35224
29761,35575,29446,35467
29653,35530,29338,35161
29761,35602,29437,35062
29635,35593,29365,35350
29770,35989,29401,35395
29671,35206,29419,35107
29572,35710,29347,35530
29662,35728,29410,35026
29644,35287,29365,35665
29716,35620,29437,35422
29680,36223,29356,35566
